position	functional_class	mitomap_class_loci	n_mitomap_class_loci	mitomap_all_loci	mitomap_all_descriptions	mitomap_source_revision	mitomap_source_url
2560	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2561	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2562	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2563	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2564	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2565	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2566	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2567	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2568	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2569	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2570	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2571	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2572	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2573	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2574	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2575	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2576	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2577	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2578	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2579	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2580	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2581	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2582	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2583	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2584	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2585	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2586	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2587	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2588	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2589	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2590	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2591	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2592	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2593	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2594	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2595	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2596	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2597	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2598	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2599	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2600	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2601	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2602	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2603	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2604	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2605	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2606	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2607	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2608	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2609	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2610	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2611	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2612	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2613	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2614	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2615	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2616	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2617	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2618	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2619	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2620	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2621	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2622	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2623	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2624	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2625	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2626	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2627	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2628	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2629	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2630	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2631	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2632	rna_coding	MT-RNR2	1	MT-RNR2	16S ribosomal RNA	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2633	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2634	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2635	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2636	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2637	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2638	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2639	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2640	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2641	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2642	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2643	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2644	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2645	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2646	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2647	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2648	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2649	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2650	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2651	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2652	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2653	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2654	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2655	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2656	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2657	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2658	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2659	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2660	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2661	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2662	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2663	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2664	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2665	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2666	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2667	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2668	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2669	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2670	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2671	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2672	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2673	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2674	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2675	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2676	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2677	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2678	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2679	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2680	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2681	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2682	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2683	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2684	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2685	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2686	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2687	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2688	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2689	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2690	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2691	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2692	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2693	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2694	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2695	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2696	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2697	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2698	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2699	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
2700	rna_coding	MT-RNR2	1	MT-HN;MT-RNR2	16S ribosomal RNA | Humanin peptide (MAPRGFSCLLLLTSEIDLPVKRRA) [MDP]	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
